rok;prijemce;castka;ucel;soubor
2022;Tělocvičná jednota Sokol Střelice;400000;údržba budov, provoz oddílů, kulturní akce 100 000,-Kč, energie 80 000,- Kč, oprava fasády z jižní strany sokolovny 120 000,-Kč, obnova povrchů podlah v sálech 100 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Tělocvičná jednota Sokol Střelice 2022.pdf
2022;FK Střelice z.s.;250000;sportovní účely FK Střelice z.s. ve výši 250 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - FK Střelice z.s.  2022.pdf
2022;Římskokatolická farnost Střelice;200000;provoz, oprava kostela a jeho areálu;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Římskokatolická farnost Střelice 2022 č.1.pdf
2022;Římskokatolická farnost Střelice;190000;oprava kostelního schodiště;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Římskokatolická farnost Střelice 2022 č.2.pdf
2022;JUNÁK-český skaut středisko Wahinkpe;100000;Výstavba střediskové klubovny II.etapa, doplnění táborového a sportovního vybavení, ostatní vybavení kluboven, zajištění celoroční činnosti střediska, nákup pomůcek pro činnost dět;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - JUNÁK-český skaut středisko Wahinkpe 2022.pdf
2022;Sbor dobrovolných hasičů;75000;;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Sbor dobrovolných hasičů 2022.pdf
2022;SRPZŠ;55000;;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - SRPZŠ 2022.pdf
2022;Myslivecký spolek Výrovka;49000;podpora kulturních akcí, údržba mysliveckých zařízení 49 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Myslivecký spolek Výrovka 2022 č.1.pdf
2022;Myslivecký spolek Výrovka;49000;oprava střechy na myslivecké chatě Výrovka 49 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Myslivecký spolek Výrovka 2022 č.2.pdf
2022;Diakonie ČCE -středisko Betlém;37800;Provozní náklady související s poskytováním soc. služeb osobám s těžkým zdravotním postižením;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Diakonie ČCE -středisko Betlém 2022.pdf
2022;Diecézní charita Brno-Oblastní charita Rajhrad;33292;Poskytování sociálních služeb;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Diecézní charita Brno-Oblastní charita Rajhrad 2022.pdf
2022;Česká kongregace sester dominikánek;20000;náklady spojené s používáním čistírny odpadních vod;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Česká kongregace sester dominikánek 2022.pdf
2022;Střelická Chasa z.s.;20000;střelické dožínky- kapela CM Stupava 12 000,- Kč, doprovod souborů CM Omičan 6 400,- Kč, doplňky ke kroji pro vystoupení „Střelická svatba“ 1 600,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Střelická Chasa z.s. 2022.pdf
2022;Včelařský spolek ve Střelicích u Brna;20000;budování areálu včelnice, úpravy včelínů a výsadba stromů;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Včelařský spolek ve Střelicích u Brna 2022 č.1.pdf
2022;FC AB Střelice;10000;startovné do soutěže 10 000,-kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - FC AB Střelice 2022.pdf
2022;Pěvecký sbor Blahoslava Hajnce;10000;služby, provozní náklady;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Pěvecký sbor Blahoslava Hajnce 2022.pdf
2022;Rodinné centrum PifPaf z.s.;10000;provozní náklady Rodinného centra PifPaf;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Rodinné centrum PifPaf z.s. 2022.pdf
2022;Střeličáci;10000;technické vybavení spolku Střeličáci z.s;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Střeličáci 2022.pdf
2022;Včelařský spolek ve Střelicích u Brna;8000;prezentace na dožínkách - propagační materiály 4 000,- Kč a nákup medu a medoviny na ochutnávku 4 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Včelařský spolek ve Střelicích u Brna 2022 č.2.pdf
2022;Rodinné centrum PifPaf z.s.;6000;rodinná vánoční dílna;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Rodinné centrum PifPaf z.s. 2022 č.2.pdf
2022;Český svaz chovatelů ZO Ostopovice;5000;zajištění výstavy 17.a 18.9.2022, příprava a tisk katalogu, platba posuzovatelům 3 000,-Kč a nákup misek do klecí 2 000,-Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Český svaz chovatelů ZO Ostopovice 2022.pdf
2022;Školní sportovní klub při ZŠ Střelice;5000;;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Školní sportovní klub při ZŠ Střelice 2022.pdf
2023;FK Střelice  z.s.;500000;sportovní účely FK Střelice z.s. ve výši 500 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - FK Střelice  z.s.  2023.pdf
2023;Tělocvičná jednota Sokol Střelice;480000;údržba budov, provoz oddílů, akce a energie 260 000,-Kč, umělé kluziště 120 000,-Kč, obnova povrchů podlah v sálech 100 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Tělocvičná jednota Sokol Střelice 2023.pdf
2023;Římskokatolická farnost Střelice;200000;provoz, oprava kostela a jeho areálu;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Římskokatolická farnost Střelice 2023.pdf
2023;Junák-český skaut, středisko Wahinkpe;150000;Výstavba nové klubovny II. etapa, doplnění táborového a sportovního vybavení a ostatní vybavení kluboven, zajištění celoroční činnosti střediska, nákup pomůcek pro činnost dětí a m;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Junák-český skaut, středisko Wahinkpe 2023doc.pdf
2023;Tělocvičná jednota Sokol Střelice;100000;výměna stropních zářičů ve výši 100 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Tělocvičná jednota Sokol Střelice 2023 č.2.pdf
2023;MAS Bobrava,z.s.;99296;pořízení vozidla 99 296,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - MAS Bobrava,z.s. 2023.pdf
2023;Sbor dobrovol.hasičů obce Střelice;75000;Hody, soutěže, Letní noc, soutěžní vybavení;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Sbor dobrovol.hasičů obce Střelice  2023.pdf
2023;Střeličáci  z.s.;70000;nahrávání CD;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Střeličáci  z.s. 2023.pdf
2023;SRPZŠ;55000;;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - SRPZŠ 2023.pdf
2023;Včelařský spolek ve Střelicích u Brna;50000;budování včelařského areálu 50 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Včelařský spolek ve Střelicích u Brna 2023.pdf
2023;Myslivecký spolek Výrovka;40000;podpora kulturních akcí, údržba mysliveckých zařízení 40 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Myslivecký spolek Výrovka 2023.pdf
2023;Diakonie ČCE -středisko Betlém;31200;Provozní náklady související s poskytováním soc. služeb osobám s těžkým zdravotním postižením;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Diakonie ČCE -středisko Betlém 2023.pdf
2023;Včelařský spolek ve Střelicích u Brna;30000;budování včelařského areálu 30 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Včelařský spolek ve Střelicích u Brna 2023 č.2.pdf
2023;Rodinné centrum PifPaf z.s.;25000;provozní náklady Rodinného centra PifPaf;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Rodinné centrum PifPaf z.s. 2023.pdf
2023;Diecézní charita Brno - Oblastní charita Rajhrad;24900;Pečovatelská služba, odborné soc. poradenství;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Diecézní charita Brno - Oblastní charita Rajhrad 2023.pdf
2023;Česká kongregace sester dominikánek;20000;náklady spojené s používáním čistírny odpadních vod a náklady na energie 20 000,-Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Česká kongregace sester dominikánek 2023.pdf
2023;Střelická Chasa;20000;Krojovaný ples, Pololetní noc, další kulturní akce a činnosti spolku 20.000,-- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Střelická Chasa 2023.pdf
2023;FC AB Střelice z.s.;10000;startovné 10 000,-kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - FC AB Střelice z.s. 2023.pdf
2023;Pěvecký sbor Blahoslava Hajnce;10000;služby, provozní náklady;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Pěvecký sbor Blahoslava Hajnce 2023.pdf
2023;Český svaz chovatelů ZO Ostopovice;6000;vybavení výstavních klecí 3 000,-Kč, pořádání výstavy – posuzovatelé 3 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Český svaz chovatelů ZO Ostopovice 2023.pdf
2023;Školní sportovní klub při ZŠ Střelice;5000;;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Školní sportovní klub při ZŠ Střelice 2023.pdf
2024;Tělocvičná jednota Sokol Střelice;650000;údržba budov, provoz oddílů, kulturní akce, energie, rekonstrukce WC, rekonstrukce sprch, rozdělení na pánské a dámské, oprava poškozené podlahy v salónku;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Tělocvičná jednota Sokol Střelice 2024.pdf
2024;FK Střelice  z.s.;520000;údržba stávajících travnatých ploch-hnojivo, zapískování, podsetí, regenerace, sekání. Údržba a modernizace areálu včetně vnitřních prostor-podlaha linoleum, výmalba. Vybudování no;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - FK Střelice  z.s.  2024.pdf
2024;Sbor dobrovol.hasičů;220000;pořádání kulturní a sportovních akcí 75 000,- Kč, nákup 40 ks tzv. Pivních setů 145 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Sbor dobrovol.hasičů 2024.pdf
2024;Junák-český skaut středisko Wahinkpe;200000;Výstavba nové klubovny II. etapa, doplnění táborového a sportovního vybavení a ostatní vybavení kluboven, zajištění celoroční činnosti střediska, nákup pomůcek pro činnost dětí a m;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Junák-český skaut středisko Wahinkpe 2024.pdf
2024;Římskokatolická farnost Střelice;200000;provoz, oprava kostela a jeho areálu;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Římskokatolická farnost Střelice 2024.pdf
2024;Generace Care z.ú_0;125648;provoz pečovatelské služby;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Generace Care z.ú_0.pdf
2024;Včelařský spolek ve Střelicích u Brna;80000;činnost spolku, budování včelařského areálu;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Včelařský spolek ve Střelicích u Brna 2024.pdf
2024;SRPZŠ;55000;;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - SRPZŠ 2024.pdf
2024;Myslivecký spolek Výrovka;52000;podpora kultur. akcí – ples - hudební produkce 10 000,-Kč, letní noc – hudební produkce 5 000,- Kč, Dětský den – občerstvení a ceny pro děti 15 000,- Kč, údržba mysliveckého zaříze;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Myslivecký spolek Výrovka 2024.pdf
2024;Diakonie ČCE -středisko Betlém;35000;Provozní náklady související s poskytováním soc. služeb osobám s těžkým zdravotním postižením;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Diakonie ČCE -středisko Betlém 2024_0.pdf
2024;Rodinné centrum PifPaf z.s.;35000;Velikonoční dílny, Vánoční dílny, Den matek, výtvarný materiál, kancelářské potřeby, propagační materiál, odměny pro děti;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Rodinné centrum PifPaf z.s.   2024.pdf
2024;Střelická Chasa;34000;Krojovaný ples, Kácení máje;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Střelická Chasa 2024.pdf
2024;Střeličáci  z.s.;30000;nákup zvukové aparatury;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Střeličáci  z.s. 2024.pdf
2024;Diecézní charita Brno-Oblastní charita Rajhrad;24900;Pečovatelská služba, odborné soc. poradenství;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Diecézní charita Brno-Oblastní charita Rajhrad 2024.pdf
2024;Komunita Blahoslavenství - Dům ve Střelicích u Brna;20000;na pořízení nových oken;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Komunita Blahoslavenství - Dům ve Střelicích u Brna 2024.pdf
2024;FC AB Střelice z.s.;15000;startovné v okresní soutěži futsalu Brno, pronájem haly ZŠ Střelice;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - FC AB Střelice z.s. 2024.pdf
2024;Pěvecký sbor Blahoslava Hajnce;10000;služby, provozní náklady;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Pěvecký sbor Blahoslava Hajnce 2024.pdf
2024;Český svaz chovatelů ZO Ostopovice;6000;posuzovatelé na podzimní výstavě zvířat 3 000,- Kč, vybavení klecí -misky, podlážky, pletivo 3 000,- Kč;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Český svaz chovatelů ZO Ostopovice 2024_0.pdf
2024;DOTYK II o.p.s.;6000;nájemné a pohonné hmoty;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - DOTYK II o.p.s. 2024.pdf
2025;Tělocvičná jednota Sokol Střelice;650000;údržba budov, provoz oddílů, kulturní akce, energie, rekonstrukce sprch, rozdělení na pánské a dámské, oprava poškozené podlahy v salónku;Tělocvičná jednota Sokol Střelice 2025.pdf
2025;FK Střelice  z.s.;520000;pořízení VEO kamery, výpočetní techniky, údržba stávajících travnatých ploch-hnojivo, zapískování, podsetí, regenerace, sekání. Údržba a modernizace areálu včetně vnitřních prostor;FK Střelice  z.s.  2025.pdf
2025;Junák-český skaut středisko Wahinkpe;200000;Úprava venkovních prostor areálu klubovny, doplnění táborového a sportovního vybavení a ostatní vybavení kluboven, zajištění celoroční činnosti střediska, nákup pomůcek pro činnost;Junák-český skaut středisko Wahinkpe 2025.pdf
2025;Římskokatolická farnost Střelice;200000;provoz, oprava kostela a jeho areálu;Římskokatolická farnost Střelice 2025.pdf
2025;Diecézní charita Brno-Oblastní charita Rajhrad;100000;Pečovatelská služba, odborné soc. poradenství;Diecézní charita Brno-Oblastní charita Rajhrad 2025.pdf
2025;Sbor dobrovolných hasičů;90000;pořádání kulturní a sportovních akcí;Sbor dobrovolných hasičů 2025.pdf
2025;Včelařský spolek ve Střelicích u Brna;80000;budování včelařského areálu;Včelařský spolek ve Střelicích u Brna 2025.pdf
2025;SRPZŠ;55000;;SRPZŠ 2025.pdf
2025;Myslivecký spolek Výrovka;47000;podpora kultur. akcí – ples - hudební produkce, letní noc – hudební produkce, uspořádání Dětského dne – občerstvení a ceny pro děti, údržba mysliveckých zařízení – hromosvod, nátěr;Myslivecký spolek Výrovka 2025.pdf
2025;Střelická Chasa;40000;Krojovaný ples, Pololetní noc a další kulturní akce a činnosti spolku, Dožínky 2025;Střelická Chasa 2025.pdf
2025;Diakonie ČCE -středisko Betlém;38000;Provozní náklady související s poskytováním soc. služeb osobám s těžkým zdravotním postižením;Diakonie ČCE -středisko Betlém 2025.pdf
2025;Střeličáci  z.s.;35000;obnova částí folklorního krojového oděvu;Střeličáci  z.s. 2025.pdf
2025;Komunita Blahoslavenství - Dům ve Střelicích u Brna;25000;na pořízení nových dveří a oken, zateplení omítek;Komunita Blahoslavenství - Dům ve Střelicích u Brna 2025.pdf
2025;Rodinné centrum PifPaf z.s.;25000;kancelářské potřeby 7 000,- Kč, výtvarné potřeby 3 000,- Kč, pomůcky do Klubíku 5 000,- Kč, dílny pro děti 5 000,- Kč, lektorné – workshopy, přednášky 3 000,- Kč, odměny pro děti 2;Rodinné centrum PifPaf z.s.   2025.pdf
2025;FC AB Střelice z.s.;15000;startovné v okresní soutěži futsalu Brno, pronájem haly;FC AB Střelice z.s. 2025.pdf
2025;Pěvecký sbor Blahoslava Hajnce;10000;služby, provozní náklady;Pěvecký sbor Blahoslava Hajnce 2025.pdf
2025;Český svaz chovatelů ZO Ostopovice;8000;posuzovatelé na podzimní výstavě zvířat, nákup materiálu na opravu výstavních klecí, podklady – vědomostní soutěž na výstavu;Český svaz chovatelů ZO Ostopovice 2025.pdf
2026;Tělocvičná jednota Sokol Střelice;700000;údržba budov, provoz oddílů, kulturní akce, energie, rekonstrukce sprch, rozdělení na pánské a dámské, nákup nářadí a vybavení, výmalba části sokolovny a nátěr vchodových dveří;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Tělocvičná jednota Sokol Střelice 2026.pdf
2026;FK Střelice  z.s.;520000;oplocení areálu kolem vstupní části (nový plot od kabin po vjezdovou bránu), nová vstupní branka pro pěší, nová vjezdová brána, výměna sloupů a sítě pro zachytávání balónů ze stran;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - FK Střelice  z.s.  2026.pdf
2026;Sbor dobrovolných hasičů;450000;kulturní, sportovní a společenské akce, nákup 9místného dodávkového automobilu;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Sbor dobrovolných hasičů 2026.pdf
2026;Římskokatolická farnost Střelice;200000;provoz, oprava kostela a jeho areálu;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Římskokatolická farnost Střelice 2026.pdf
2026;Junák - český skaut středisko Wahínkpe Střelice z. s.;150000;úpravy venkovních ploch klubovny (boulderová stěna, hřiště, ohniště, …), doplnění táborového a sportovního vybavení a ostatní vybavení kluboven, zajištění celoroční činnosti středi;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Junák - český skaut středisko Wahínkpe Střelice z. s.  2026.pdf
2026;Diecézní charita Brno-Oblastní charita Rajhrad Blansko;132780;pečovatelská služba, chráněné bydlení;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Diecézní charita Brno-Oblastní charita Rajhrad Blansko 2026.pdf
2026;Včelařský spolek ve Střelicích u Brna;80000;budování včelařského areálu;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Včelařský spolek ve Střelicích u Brna 2026.pdf
2026;Myslivecký spolek Výrovka;55000;podpora kultur. akcí – ples – hudební produkce, letní noc – hudební produkce, práce s dětmi – občerstvení a ceny pro děti na dětském dni, v mysliveckém kroužku, údržba mysliveckých;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Myslivecký spolek Výrovka 2026.pdf
2026;SRPZŠ;55000;;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - SRPZŠ 2026.pdf
2026;Střelická Chasa;40000;Krojovaný ples, Pololetní noc, Ostatky a další kulturní akce a činnosti spolku;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Střelická Chasa 2026.pdf
2026;Diakonie ČCE -středisko Betlém;38000;provozní náklady související s poskytováním soc. služeb osobám s těžkým zdravotním postižením;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Diakonie ČCE -středisko Betlém 2026.pdf
2026;Střeličáci  z.s.;30000;zvuková aparatura;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Střeličáci  z.s. 2026.pdf
2026;Komunita Blahoslavenství - Dům ve Střelicích u Brna;25000;na zateplení omítek;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Komunita Blahoslavenství - Dům ve Střelicích u Brna 2026.pdf
2026;FC AB Střelice z.s.;20000;startovné v okresní soutěži futsalu Brno, startovné v soutěži II. třída futsalu Brno, pronájem haly;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - FC AB Střelice z.s. 2026.pdf
2026;Rodinné centrum PifPaf z.s.;15000;kancelářské potřeby, výtvarné potřeby, pomůcky do Klubíku, odměny pro děti;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Rodinné centrum PifPaf z.s. 2026.pdf
2026;Spolek uzenářů Střelice;15000;nákup vybavení, odborná literatura, spotřební materiál, další vzdělávání;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Spolek uzenářů Střelice 2026.pdf
2026;Pěvecký sbor Blahoslava Hajnce;10000;služby, provozní náklady;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Pěvecký sbor Blahoslava Hajnce 2026.pdf
2026;Český svaz chovatelů ZO Ostopovice;8000;posuzovatelé na podzimní výstavě zvířat, nákup materiálu a provedení opravy podstavců voliér na drůbež, doplnění podlážek pod králičí klece, opravy klecí na exotické ptactvo, nákup;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Český svaz chovatelů ZO Ostopovice 2026.pdf
